ID,cookingTime,ingredientsCount,isSimple
23187.0,10.0,7.0,0.0
334985.0,40.0,6.0,0.0
318992.0,30.0,9.0,0.0
400445.0,60.0,13.0,0.0
257289.0,50.0,10.0,0.0
258742.0,35.0,15.0,0.0
385241.0,25.0,14.0,0.0
315114.0,35.0,17.0,0.0
405726.0,15.0,5.0,1.0
373728.0,30.0,12.0,0.0
200562.0,10.0,3.0,1.0
279648.0,65.0,16.0,0.0
29598.0,35.0,10.0,0.0
164257.0,65.0,10.0,0.0
336006.0,55.0,7.0,0.0
290595.0,50.0,6.0,0.0
411512.0,40.0,11.0,0.0
188935.0,20.0,7.0,0.0
328136.0,5.0,5.0,1.0
310099.0,50.0,11.0,0.0
331400.0,35.0,6.0,0.0
8012.0,65.0,10.0,0.0
134363.0,25.0,6.0,0.0
389278.0,10.0,5.0,1.0
280680.0,5.0,4.0,1.0
125726.0,25.0,10.0,0.0
64671.0,65.0,7.0,0.0
11413.0,65.0,11.0,0.0
126219.0,40.0,8.0,0.0
26016.0,30.0,12.0,0.0
383843.0,65.0,13.0,0.0
361099.0,15.0,6.0,0.0
463861.0,50.0,11.0,0.0
26686.0,30.0,8.0,0.0
52157.0,50.0,10.0,0.0
318735.0,26.0,12.0,0.0
369159.0,35.0,9.0,0.0
103366.0,65.0,18.0,0.0
222074.0,60.0,13.0,0.0
238697.0,45.0,9.0,0.0
391680.0,65.0,13.0,0.0
104760.0,30.0,5.0,0.0
126465.0,25.0,11.0,0.0
139343.0,65.0,12.0,0.0
429506.0,65.0,9.0,0.0
299228.0,60.0,17.0,0.0
407342.0,40.0,10.0,0.0
135516.0,65.0,12.0,0.0
29005.0,65.0,4.0,0.0
430518.0,30.0,9.0,0.0
470973.0,65.0,20.0,0.0
34395.0,5.0,7.0,0.0
41654.0,55.0,9.0,0.0
290823.0,20.0,9.0,0.0
152928.0,15.0,7.0,0.0
11567.0,40.0,10.0,0.0
42699.0,20.0,10.0,0.0
20567.0,25.0,10.0,0.0
195618.0,20.0,5.0,1.0
279649.0,65.0,6.0,0.0
242108.0,40.0,4.0,0.0
42926.0,30.0,6.0,0.0
158480.0,65.0,12.0,0.0
272649.0,20.0,10.0,0.0
105520.0,18.0,7.0,0.0
137622.0,40.0,7.0,0.0
454119.0,10.0,4.0,1.0
169422.0,45.0,7.0,0.0
296122.0,50.0,13.0,0.0
408712.0,15.0,13.0,0.0
211928.0,55.0,17.0,0.0
51830.0,65.0,6.0,0.0
212608.0,22.0,9.0,0.0
15229.0,65.0,9.0,0.0
216527.0,45.0,10.0,0.0
423393.0,65.0,5.0,0.0
503314.0,20.0,7.0,0.0
162758.0,60.0,4.0,0.0
155837.0,45.0,9.0,0.0
270542.0,5.0,4.0,1.0
460833.0,65.0,16.0,0.0
116294.0,30.0,15.0,0.0
176951.0,45.0,12.0,0.0
212025.0,65.0,5.0,0.0
446188.0,25.0,5.0,0.0
18310.0,10.0,9.0,0.0
118207.0,65.0,5.0,0.0
101637.0,15.0,6.0,0.0
308905.0,5.0,7.0,0.0
74758.0,65.0,7.0,0.0
202615.0,65.0,8.0,0.0
258854.0,65.0,13.0,0.0
110347.0,2.0,5.0,1.0
29533.0,40.0,13.0,0.0
11644.0,45.0,8.0,0.0
181035.0,65.0,18.0,0.0
164879.0,65.0,11.0,0.0
148817.0,65.0,13.0,0.0
423178.0,20.0,9.0,0.0
252362.0,55.0,8.0,0.0
461048.0,5.0,12.0,0.0
520603.0,33.0,9.0,0.0
350655.0,65.0,9.0,0.0
223668.0,4.0,3.0,1.0
255452.0,15.0,6.0,0.0
126410.0,2.0,4.0,1.0
231605.0,35.0,12.0,0.0
62545.0,57.0,15.0,0.0
277814.0,65.0,10.0,0.0
104880.0,65.0,7.0,0.0
298235.0,45.0,12.0,0.0
484102.0,20.0,8.0,0.0
81957.0,30.0,13.0,0.0
363343.0,30.0,15.0,0.0
311859.0,30.0,8.0,0.0
81318.0,55.0,12.0,0.0
147671.0,65.0,8.0,0.0
78674.0,38.0,12.0,0.0
53640.0,35.0,12.0,0.0
293755.0,5.0,7.0,0.0
423484.0,25.0,12.0,0.0
343565.0,65.0,20.0,0.0
304790.0,45.0,13.0,0.0
35083.0,65.0,9.0,0.0
432319.0,40.0,10.0,0.0
297272.0,10.0,4.0,1.0
285373.0,2.0,5.0,1.0
105252.0,55.0,10.0,0.0
420551.0,40.0,9.0,0.0
366949.0,65.0,11.0,0.0
447728.0,40.0,14.0,0.0
395963.0,20.0,10.0,0.0
110332.0,65.0,5.0,0.0
36495.0,65.0,15.0,0.0
91965.0,27.0,10.0,0.0
111343.0,10.0,11.0,0.0
143679.0,12.0,6.0,0.0
366715.0,45.0,12.0,0.0
196250.0,38.0,8.0,0.0
176228.0,65.0,4.0,0.0
171252.0,35.0,7.0,0.0
183262.0,65.0,10.0,0.0
149747.0,65.0,10.0,0.0
252200.0,65.0,6.0,0.0
362820.0,15.0,5.0,1.0
166775.0,20.0,12.0,0.0
272862.0,50.0,6.0,0.0
106179.0,35.0,7.0,0.0
381156.0,65.0,7.0,0.0
113557.0,30.0,11.0,0.0
118540.0,17.0,8.0,0.0
314974.0,65.0,13.0,0.0
91050.0,65.0,11.0,0.0
180073.0,20.0,5.0,1.0
354726.0,30.0,11.0,0.0
423430.0,20.0,9.0,0.0
144591.0,10.0,4.0,1.0
129170.0,60.0,8.0,0.0
224312.0,15.0,5.0,1.0
418474.0,65.0,6.0,0.0
400563.0,65.0,17.0,0.0
152357.0,65.0,10.0,0.0
29828.0,15.0,6.0,0.0
353583.0,45.0,11.0,0.0
362960.0,65.0,11.0,0.0
52950.0,65.0,12.0,0.0
84021.0,20.0,11.0,0.0
201316.0,40.0,6.0,0.0
276596.0,65.0,8.0,0.0
147295.0,25.0,9.0,0.0
240086.0,15.0,6.0,0.0
134805.0,35.0,10.0,0.0
120835.0,5.0,3.0,1.0
151741.0,60.0,15.0,0.0
223780.0,30.0,9.0,0.0
78183.0,55.0,14.0,0.0
352940.0,1.0,3.0,1.0
192188.0,55.0,6.0,0.0
79030.0,33.0,8.0,0.0
111496.0,35.0,8.0,0.0
56301.0,60.0,8.0,0.0
248905.0,30.0,7.0,0.0
356517.0,18.0,4.0,1.0
17449.0,20.0,8.0,0.0
330168.0,65.0,14.0,0.0
9751.0,7.0,4.0,1.0
98774.0,50.0,6.0,0.0
75601.0,6.0,8.0,0.0
44999.0,10.0,3.0,1.0
142819.0,50.0,10.0,0.0
60955.0,20.0,8.0,0.0
367812.0,25.0,11.0,0.0
216748.0,65.0,21.0,0.0
324124.0,10.0,8.0,0.0
482024.0,30.0,11.0,0.0
189687.0,65.0,18.0,0.0
163352.0,65.0,11.0,0.0
105309.0,20.0,10.0,0.0
318455.0,40.0,14.0,0.0
196260.0,65.0,13.0,0.0
52631.0,60.0,10.0,0.0
383988.0,5.0,5.0,1.0
129835.0,25.0,9.0,0.0
39732.0,65.0,11.0,0.0
9156.0,30.0,8.0,0.0
533718.0,34.0,15.0,0.0
7975.0,2.0,7.0,0.0
136457.0,40.0,8.0,0.0
39985.0,2.0,2.0,1.0
377083.0,50.0,7.0,0.0
134242.0,65.0,18.0,0.0
140210.0,62.0,9.0,0.0
153719.0,65.0,9.0,0.0
95900.0,65.0,9.0,0.0
136845.0,65.0,9.0,0.0
345275.0,50.0,10.0,0.0
321751.0,35.0,4.0,0.0
183365.0,15.0,7.0,0.0
164538.0,12.0,6.0,0.0
116258.0,50.0,10.0,0.0
219873.0,15.0,13.0,0.0
62547.0,17.0,7.0,0.0
381109.0,25.0,9.0,0.0
47249.0,1.0,8.0,0.0
248411.0,30.0,8.0,0.0
479895.0,30.0,13.0,0.0
11992.0,65.0,17.0,0.0
516546.0,27.0,7.0,0.0
224636.0,40.0,7.0,0.0
180943.0,35.0,10.0,0.0
31626.0,65.0,13.0,0.0
472899.0,65.0,4.0,0.0
204698.0,65.0,6.0,0.0
55237.0,60.0,11.0,0.0
81586.0,60.0,5.0,0.0
390084.0,20.0,4.0,1.0
119066.0,10.0,5.0,1.0
150244.0,40.0,15.0,0.0
254202.0,30.0,13.0,0.0
85523.0,27.0,11.0,0.0
165625.0,30.0,15.0,0.0
18800.0,65.0,17.0,0.0
9325.0,1.0,10.0,0.0
422167.0,45.0,8.0,0.0
236938.0,25.0,6.0,0.0
189785.0,5.0,7.0,0.0
333400.0,20.0,5.0,1.0
